censo,latitudInventario,longitudInventario
711,"-65,65806","-36,18884"
712,"-65,70922","-36,19028"
303,"-65,80946","-36,17638"
47/48,"-65,9075","-36,34173"
6,"-65,90687","-36,35159"
4,"-65,88848","-36,35856"
3,"-65,76849","-36,35563"
2,"-65,64045","-36,31247"
1,"-65,58338","-36,28905"
312,"-65,52514","-36,35159"
311,"-65,48973","-36,43465"
311 bis,"-65,49997","-36,43465"
65,"-65,39242","-36,24442"
300,"-65,21902","-36,20491"
309,"-65,32803","-36,5883"
157,"-65,29438","-36,52684"
158,"-65,27682","-36,54879"
153,"-65,30608","-36,52391"
352,"-65,13853","-36,53343"
308,"-65,25706","-36,60586"
310,"-65,28852","-36,62854"
307,"-65,22693","-36,69357"
328,"-65,20021","-36,71664"
354,"-64,94513","-36,77495"
355,"-64,81395","-36,70571"
353,"-64,90869","-36,52959"
329,"-65,08482","-36,58546"
344,"-64,92327","-36,25264"
351,"-65,00101","-36,39355"
331,"-65,08846","-36,17855"
332,"-64,96578","-35,98299"
342,"-64,8346","-36,00121"
305,"-65,70868","-36,65229"
306,"-65,7745","-36,67686"
304,"-65,71745","-36,66545"
42,"-66,07112","-36,4443"
50,"-66,13167","-36,45483"
43,"-66,1071","-36,54522"
45,"-66,10447","-36,69003"
44,"-66,13782","-36,6909"
46,"-65,99038","-36,68651"
51,"-66,1738","-36,5303"
49,"-66,20276","-36,34776"
31,"-66,09657","-36,33899"
30,"-65,99565","-36,34162"
33,"-66,23084","-36,33021"
8,"-66,22382","-36,31793"
35,"-66,33936","-36,27065"
34,"-66,36267","-36,32138"
39,"-66,57247","-36,30767"
32,"-66,2558","-36,32802"
7,"-66,14115","-36,34796"
52,"-66,24084","-36,56229"
53,"-66,2371","-36,58597"
54,"-66,37169","-36,56728"
55,"-66,36795","-36,57725"
56,"-66,41904","-36,59968"
57,"-66,35299","-36,68441"
58,"-66,40658","-36,67694"
72,"-66,46141","-36,69064"
304 bis,"-65,72744","-36,65824"
