idEspecie,nombreCientificoEspecie,nombreActualEspecie,tipoBiologico,preferencia,estacionalidad,grupoFuncional,ciclo
89,Acaena myriophylla,,,,,,Perenne
90,Acantholippia seriphioides,,C,No preferida,Primavero-estival,Herbacea,Perenne
91,Adesmia filipes,,,,,,Anual
92,Adesmia incana,,,,,,Anual
93,Adesmia lihuelensis,,,,,,Perenne
94,Adesmia muricata,,P,Preferida,Primavero-estival,Herbacea,Perenne
95,Adesmia trijuga,,,,,,Perenne
96,Adiantum chilense,,,,,,Perenne
97,Agropyron elongatum,,,,,,Perenne
98,Alchemilla parodii,Aphanes parodii,P,No preferida,Primavero-estival,Herbacea,Anual
99,Allenrolfea patagonica,,,,,,Perenne
100,Allenrolfea vaginata,,,,,,Perenne
101,Aloysia gratissima,,F,Preferida,Primavero-estival,Leñosa,Perenne
102,Alternanthera philoxeroides,,,,,,Perenne
103,Alternanthera pungens,,,,,,Anual
104,Amaranthus crispus,,,,,,Anual
105,Amaranthus deflexus,,,,,,Anual
106,Amaranthus standleyanus,,,,,,Anual
107,Ambrosia tenuifolia,,,,,,Perenne
108,Ammi majus,,,,,,Anual
109,Ammi visnaga,,,,,,Anual
110,Amsinckia hispida,,,,,,Anual
111,Anarthrophyllum ornithopodum,,,,,,Perenne
112,Androsace salasii,,,,,,Anual
113,Anemone decapetala,,,,,,Perenne
114,Anthemis cotula,,,,,,Anual
115,Apium leptophyllum,,,,,,Anual
116,Apodanthera sagittifolia,,,,,,Perenne
117,Araujia hortorum,,,,,,Perenne
118,Argemone subfusiformis,,,,,,Anual
119,Aristida adscencionis,,H,Preferida,Primavero-estival,Herbacea,Anual
120,Aristida mendocina,,H,Preferida,Primavero-estival,Herbacea,Perenne
121,Aristida minutiflora,,,,,,Anual
122,Aristida niederleinii,,,,,,Perenne
123,Aristida pallens,,,,,,Perenne
124,Aristida spegazzini,,,,,,Perenne
125,Aristida subulata,,H,No preferida,Primavero-estival,Herbacea,Perenne
126,Aristida trachyantha,,,,,,Perenne
127,Arjona tuberosa,,G,No preferida,Primavero-estival,Herbacea,Perenne
128,Arundo donax,,,,,,Perenne
129,Asclepias mellodora,,,,,,Perenne
130,Aster haplopappus,Noticastrum sericeum,H,No preferida,Primavero-estival,Herbacea,Anual
131,Aster squamatus,,,,,,Perenne
132,Astragalus bergii,,H,No preferida,Primavero-estival,Herbacea,Anual
133,Atamisquea emarginata,,,,,,Perenne
134,Atriplex hastata,,,,,,Anual
135,Atriplex lampa,,F,Intermedia,Primavero-estival,,Perenne
136,Atriplex montevidensis,,,,,,Perenne
137,Atriplex semibaccata,,,,,,Anual
138,Atriplex undulata,,F,Intermedia,Primavero-estival,,Perenne
139,Avena barbata,,,,,,Anual
140,Avena sativa,,,,,,Anual
141,Baccharis artemisioides,,H,No preferida,Primavero-estival,Herbacea,Perenne
142,Baccharis coridifolia,,,,,,Perenne
143,Baccharis crispa,,H,No preferida,Primavero-estival,Herbacea,Perenne
144,Baccharis darwinii,,H,No preferida,Primavero-estival,Herbacea,Perenne
145,Baccharis giliesii,,,,,,Perenne
146,Baccharis juncea,,,,,,Perenne
147,Baccharis melanopotamica,,H,No preferida,Primavero-estival,Herbacea,Perenne
148,Baccharis pingraea,,,,,,Perenne
149,Baccharis rufescens,,,,,,Perenne
150,Baccharis salicifolia,,,,,,Perenne
151,Baccharis trimera,,,,,,Perenne
152,Baccharis ulicina,,H,No preferida,Primavero-estival,Herbacea,Perenne
153,Berberis ruscifolia,,,,,,Perenne
154,Beta vulgaris,,,,,,Perenne
155,Bidens pilosa,,,,,,Anual
156,Boopis anthemoides,,H,,Primavero-estival,Herbacea,Anual
157,Bothriochloa barbinodis,,,,,,Perenne
158,Bothriochloa springfieldii,,H,Preferida,Primavero-estival,Herbacea,Perenne
159,Bounganvillea spinosa,,F,Intermedia,Primavero-estival,Leñosa,Perenne
160,Bouteloua megapotamica,,,,,,Perenne
161,Bowlesia incana,,P,No preferida,Primavero-estival,Herbacea,Anual
162,Brachyclados lycioides,,F,Preferida,Primavero-estival,Leñosa,Perenne
163,Brassica campestris,,P,,Primavero-estival,Herbacea,Anual
164,Brassica nigra,,,,,,Anual
165,Bredemeyera microphylla,,C,Intermedia,Primavero-estival,Leñosa,Perenne
166,Briza subaristata,,,,,,Perenne
167,Bromus auleticus,,,,,,Perenne
168,Bromus brevis,,P,Preferida,Primavero-estival,Herbacea,Anual
169,Bromus mollis,,,,,,Anual
170,Bromus unioloides,,,,,,Perenne
171,Buddleja mendozensis,,,,,,Perenne
172,Bulnesia retama,,F,Intermedia,Primavero-estival,Leñosa,Perenne
173,Caesalpinia gilliesii,,,,,,Perenne
174,Calycera crassifolia,,H,No preferida,Primavero-estival,Herbacea,Perenne
175,Camelina sativa,,,,,,Perenne
176,Camissonia dentata,,,,,,Anual
177,Capsella bursa-pastoris,,,,,,Anual
178,Cardionema ramosissimum,,H,No preferida,Primavero-estival,,Anual
179,Carduus nutans,Carduus thoermeri Weinm,P,Intermedia,Primavero-estival,Herbacea,Anual
180,Carex bonariensis,,H,No preferida,Primavero-estival,Herbacea,Perenne
181,Carex sororia,,,,,,Perenne
182,Carthamus lanatus,,,,,,Anual
183,Cassia aphylla,Senna aphylla,C,No preferida,Primavero-estival,Herbacea,Perenne
184,Cenchrus myosuroides,,,,,,Perenne
