idFisonomia,idAlturaCobertura,idInventario,Observacion
1,4,36,
1,5,100,
1,4,107,
1,4,112,
1,6,113,
1,6,114,
1,4,118,
1,4,134,
1,4,136,
1,4,137,
1,4,140,
1,4,141,
1,4,142,
1,4,150,
1,4,151,
1,4,152,
1,5,153,
1,6,156,
1,5,159,
1,6,160,
1,4,161,
1,4,162,
1,4,163,
1,4,211,NULL
1,6,255,NULL
1,4,267,NULL
1,4,269,NULL
1,4,271,NULL
1,1,272,NULL
1,5,276,NULL
1,4,279,NULL
1,6,300,NULL
1,4,342,NULL
1,3,360,NULL
1,1,364,NULL
1,4,378,NULL
1,4,379,NULL
1,6,380,NULL
1,4,381,NULL
1,4,393,NULL
1,4,394,NULL
1,5,395,NULL
1,4,1393,NULL
2,4,33,
2,4,34,
2,3,35,
2,4,37,
2,3,38,
2,4,42,
2,4,47,
2,4,48,
2,4,51,
2,4,52,
2,4,53,
2,4,54,
2,4,55,
2,4,56,
2,4,59,
2,4,60,
2,4,61,
2,5,62,
2,4,63,
2,4,64,
2,4,65,
2,4,66,
2,6,67,
2,4,68,
2,4,69,
2,4,73,
2,4,74,
2,4,76,
2,3,80,
2,6,81,
2,6,83,
2,6,88,
2,4,89,
2,4,92,
2,3,93,
2,3,94,
2,3,95,
2,3,96,
2,3,97,
2,4,98,
2,4,99,
2,4,100,
2,6,101,
2,6,102,
2,4,103,
2,4,104,
2,4,105,
2,4,108,
2,4,109,
2,4,110,
2,6,112,
2,4,118,
2,4,119,
2,6,136,
2,4,137,
2,3,138,
2,3,139,
2,5,142,
2,4,145,
2,3,148,
2,3,162,
2,3,165,
2,4,172,
2,4,183,
2,4,184,
2,4,185,
2,5,186,
2,4,187,
2,4,188,
2,4,189,
2,4,190,
2,4,191,
2,4,192,
2,4,193,
2,4,194,
2,4,195,
2,6,196,
2,6,197,
2,4,198,
2,4,199,
2,4,200,
2,4,201,
2,3,202,
2,4,204,NULL
2,3,206,NULL
2,3,207,NULL
2,6,210,NULL
2,4,211,NULL
2,3,212,NULL
2,4,213,NULL
2,4,214,NULL
2,4,218,NULL
2,4,219,NULL
2,5,221,NULL
