idFormacion,idAlturaCobertura,idInventario
1,6,92
1,6,107
1,4,112
1,6,142
1,6,150
1,4,153
1,4,163
1,6,223
1,4,230
1,6,254
1,6,276
1,5,280
1,6,285
1,6,331
2,6,36
2,6,72
2,6,73
2,6,88
2,6,91
2,6,92
2,6,93
2,6,100
2,6,107
2,6,112
2,6,117
2,6,118
2,6,128
2,4,130
2,4,133
2,4,134
2,6,136
2,6,137
2,4,139
2,4,140
2,5,141
2,4,142
2,6,144
2,6,145
2,4,146
2,4,149
2,5,150
2,4,151
2,4,152
2,6,153
2,6,156
2,6,159
2,6,160
2,6,165
2,6,176
2,6,179
2,6,236
2,6,237
2,6,238
2,6,240
2,6,250
2,6,254
2,6,255
2,4,260
2,6,267
2,6,268
2,4,269
2,4,270
2,4,271
2,6,272
2,6,273
2,4,276
2,6,279
2,6,280
2,5,283
2,6,292
2,4,325
2,6,342
2,3,360
2,3,364
2,6,390
2,4,391
2,5,393
2,5,394
3,6,33
3,6,35
3,6,36
3,6,37
3,6,48
3,6,50
3,6,56
3,6,70
3,6,72
3,6,73
3,6,74
3,6,83
3,6,89
3,6,92
3,6,93
3,6,94
3,6,95
3,6,96
3,6,97
3,6,98
3,6,100
3,6,107
3,6,108
3,6,113
3,6,117
3,5,118
3,6,119
3,6,120
3,6,121
3,4,130
3,4,133
3,4,134
3,6,135
3,6,136
3,4,137
3,3,139
3,4,140
3,5,141
3,3,142
3,6,147
3,6,148
3,4,149
3,4,150
3,4,151
3,3,152
3,6,155
3,5,159
3,5,160
3,4,163
3,4,165
3,6,171
3,6,172
3,4,174
3,6,175
3,6,176
3,3,177
3,6,178
3,6,179
3,6,180
3,6,183
3,5,233
3,6,234
3,6,235
3,6,236
3,6,237
3,6,238
3,4,240
3,6,247
3,6,248
3,6,249
3,4,250
3,6,251
3,5,254
3,5,255
3,6,256
3,4,260
3,6,266
3,6,267
3,4,268
3,4,269
3,4,270
3,3,271
3,3,272
3,4,273
3,4,279
3,4,280
3,5,281
3,6,282
3,6,283
3,5,284
3,6,285
3,6,293
3,6,300
3,6,316
3,6,319
3,6,321
3,6,322
3,4,324
3,6,327
3,6,329
3,6,331
3,5,342
3,6,362
3,4,364
3,4,378
3,4,379
3,4,381
3,4,390
3,4,394
3,4,1393
4,4,33
4,6,34
4,3,35
4,6,36
4,6,37
4,6,42
4,6,46
4,4,47
4,3,48
4,6,49
4,6,51
4,6,52
4,6,53
4,6,54
4,6,55
4,6,59
4,6,60
4,6,61
4,6,62
4,6,63
4,6,65
4,6,66
4,6,67
4,6,68
4,6,69
4,6,70
4,6,72
4,6,73
4,6,74
4,6,76
4,3,77
4,3,80
4,6,83
4,6,84
4,6,88
4,6,89
4,6,91
4,6,92
4,6,93
4,6,94
4,3,95
4,6,97
4,6,98
4,6,99
4,6,100
4,6,103
4,6,104
4,6,107
4,6,108
4,6,109
4,6,110
4,3,112
4,6,114
4,4,118
4,4,119
4,6,121
4,4,130
4,5,133
4,3,134
4,4,135
4,4,136
4,4,137
4,4,139
4,4,140
4,3,142
4,4,143
4,4,144
4,3,145
4,4,147
4,3,148
4,3,149
4,4,150
4,3,151
4,4,152
4,6,153
4,6,154
4,6,155
4,4,156
4,5,159
4,6,160
4,6,163
4,4,165
4,6,172
4,6,173
4,6,174
4,6,175
4,6,176
4,6,177
4,4,178
4,6,180
4,4,182
4,4,183
4,4,184
4,6,185
4,5,186
4,5,187
4,6,188
4,5,189
4,6,191
4,5,192
4,6,193
4,6,194
4,4,195
4,6,196
4,6,197
4,4,198
4,6,199
4,5,200
4,4,201
4,3,202
4,6,203
4,6,204
4,3,206
4,5,209
4,6,210
4,5,211
4,4,213
4,5,214
4,6,215
4,4,218
4,6,219
4,5,221
4,5,222
4,6,223
4,5,227
4,5,228
4,6,230
4,6,231
4,4,233
4,4,234
4,4,235
4,6,236
4,4,237
4,6,238
4,6,240
4,4,248
4,4,249
4,6,250
4,4,251
4,4,254
4,6,255
4,6,256
4,4,257
4,6,262
4,5,263
4,6,264
4,4,266
4,6,267
4,4,268
4,4,269
4,6,270
4,6,272
4,6,273
4,6,276
4,6,278
4,5,279
4,5,280
4,3,281
4,5,282
4,3,284
4,3,285
4,4,286
4,4,287
4,6,288
4,4,289
4,6,292
4,6,293
4,6,295
4,6,298
4,5,299
4,5,300
4,4,302
4,3,304
4,4,305
4,4,308
4,4,311
4,4,314
4,5,316
4,6,317
4,4,319
4,5,321
4,5,322
4,4,327
4,3,329
4,6,332
4,6,335
4,6,336
4,4,340
4,4,342
4,6,344
4,4,345
4,5,348
4,5,349
4,4,350
4,6,351
4,5,352
4,5,355
4,4,356
4,5,358
4,5,360
4,4,363
4,6,364
4,4,372
4,6,376
4,4,380
4,4,393
4,4,395
4,3,1393
5,4,89
5,4,92
5,3,93
5,6,94
5,3,96
5,3,97
5,4,98
5,6,99
5,4,100
5,6,101
5,6,102
5,4,103
5,4,104
5,6,105
5,6,108
5,4,119
5,3,121
5,6,136
5,4,137
5,5,142
5,4,144
5,4,145
5,4,147
5,3,148
5,6,155
5,3,165
5,3,167
5,4,172
5,4,173
5,4,181
5,6,182
5,4,183
5,4,185
5,4,187
5,6,189
5,6,190
5,4,191
5,4,192
5,4,193
5,6,195
5,6,196
5,6,197
5,6,198
5,4,199
5,4,200
5,4,201
5,5,202
5,6,203
5,6,204
5,6,206
5,3,207
5,4,209
5,5,213
5,4,215
5,5,218
5,4,219
5,6,222
5,6,223
5,3,225
5,5,227
5,6,228
5,6,231
5,4,232
5,6,234
5,5,235
5,6,237
5,4,254
5,4,256
5,3,261
5,3,262
5,3,263
5,6,280
5,6,281
5,4,283
5,4,287
5,6,291
5,3,295
5,5,296
5,3,297
5,4,298
5,4,299
5,4,300
5,6,301
5,5,302
5,4,303
5,6,304
5,5,305
5,3,306
5,3,307
5,6,308
5,3,309
5,6,311
5,5,319
5,5,321
5,5,322
5,4,324
5,5,325
5,5,327
5,6,332
5,3,333
5,6,336
5,5,337
5,6,340
5,4,342
5,4,343
5,5,344
5,4,345
5,5,348
5,4,349
5,6,351
5,5,352
5,6,353
5,6,355
5,5,356
5,6,362
5,4,385
5,4,386
5,4,387
6,3,35
6,6,36
6,3,61
6,6,67
6,6,73
6,6,76
6,6,84
6,6,88
6,6,89
6,6,91
6,6,92
6,6,93
6,6,94
6,6,97
6,6,98
6,6,99
6,6,100
6,2,107
6,6,110
6,6,112
6,4,113
6,3,114
6,6,115
6,3,118
6,4,119
6,3,120
6,4,121
6,3,123
6,4,124
6,4,126
6,3,129
6,3,130
6,4,133
6,4,134
6,6,135
6,3,136
6,4,137
6,6,139
6,3,140
6,3,141
6,4,142
6,4,144
6,3,146
6,4,147
6,4,148
6,3,150
6,3,151
6,3,152
6,3,153
6,3,154
6,3,155
6,4,156
6,4,157
6,4,158
6,4,159
6,6,160
6,3,163
6,6,165
6,3,166
6,4,169
6,4,172
6,4,175
6,4,176
6,4,177
6,5,178
6,4,179
6,5,180
6,6,181
6,6,182
6,4,183
6,6,185
6,4,188
6,6,201
6,6,203
6,3,208
6,4,209
6,4,210
6,4,211
6,6,222
6,6,223
6,6,225
6,6,230
6,4,236
6,6,250
6,4,251
6,3,252
6,5,254
6,6,255
6,3,264
6,4,265
6,2,266
6,3,267
6,4,268
6,3,269
6,3,270
6,3,271
6,2,272
6,3,276
6,3,278
6,5,279
6,5,280
6,5,281
6,6,288
6,2,293
6,6,295
6,6,300
6,2,301
6,5,302
6,6,304
6,6,305
6,6,316
6,6,322
6,4,324
6,5,325
6,4,328
6,3,331
6,6,332
6,6,336
6,6,342
6,6,348
6,4,350
6,4,354
6,6,358
6,3,360
6,3,362
6,3,363
6,6,376
6,3,377
7,3,33
7,4,34
7,4,36
7,6,37
7,4,47
7,5,51
7,6,52
7,6,53
7,6,54
7,6,55
7,6,56
7,6,59
7,6,65
7,6,66
7,6,69
7,6,74
7,6,77
7,6,83
7,3,84
7,6,89
7,6,91
7,3,92
7,6,93
7,6,94
7,6,97
7,3,98
7,6,99
7,6,100
7,3,101
7,3,102
7,4,103
7,4,104
7,6,105
7,6,107
7,3,108
7,6,109
7,6,110
7,3,112
7,3,113
7,3,115
7,6,118
7,3,123
7,6,124
7,3,131
7,4,133
7,4,135
7,6,136
7,4,142
7,3,153
7,4,154
7,6,156
7,3,157
7,4,158
7,5,159
7,4,160
7,3,163
7,6,164
7,3,166
7,4,167
7,6,168
7,4,169
7,2,170
7,3,171
7,3,172
7,3,173
7,3,175
7,3,176
7,3,177
7,3,178
7,3,179
7,4,180
7,3,181
7,4,182
7,4,186
7,4,189
7,6,190
7,6,191
7,6,192
7,4,193
7,6,196
7,6,197
7,6,198
7,6,201
7,5,202
7,6,203
7,5,204
7,6,206
7,6,207
7,6,209
7,4,211
7,6,213
7,6,215
7,4,218
7,6,219
7,6,222
7,6,223
7,6,227
7,6,230
7,6,231
7,4,232
7,5,233
7,4,235
7,3,248
7,4,249
7,4,250
7,6,254
7,6,255
7,4,256
7,5,257
7,3,260
7,3,262
7,4,264
7,3,265
7,2,277
7,5,278
7,4,279
7,5,280
7,6,282
7,5,283
7,6,284
7,6,285
7,4,286
7,5,287
7,6,288
7,3,289
7,6,291
7,6,295
7,6,299
7,6,300
7,6,305
7,4,311
7,3,312
7,2,313
7,3,316
7,3,322
7,4,327
7,4,328
7,4,332
7,6,333
7,6,335
7,4,336
7,6,342
7,6,348
7,4,349
7,6,351
7,6,352
7,3,353
7,3,355
7,4,356
7,5,358
7,4,359
7,3,371
7,5,372
7,3,373
7,6,375
7,3,376
7,3,1393
8,4,34
8,6,42
8,6,46
8,4,47
8,6,48
8,6,49
8,6,50
8,6,51
8,6,52
8,6,53
8,6,55
8,6,56
8,6,59
8,6,60
8,6,63
8,6,65
8,6,66
8,6,67
8,6,68
8,6,69
8,6,70
8,2,73
8,6,74
8,6,76
8,6,79
8,6,80
8,6,81
8,6,82
8,6,83
8,6,84
8,6,88
8,3,91
8,6,93
8,6,94
8,6,96
8,6,97
8,2,99
8,3,100
8,3,101
8,3,102
8,6,105
8,6,107
8,6,108
8,6,110
8,6,112
8,3,114
8,3,116
8,4,126
8,4,129
8,4,130
8,6,139
8,6,154
8,6,155
8,4,159
8,5,160
8,3,168
8,4,180
