idInventario,idEstrato,idEspecie,idCobertura
33,1,90,1
33,1,94,1
33,1,98,1
33,1,125,1
33,1,161,1
33,1,168,3
33,1,189,1
33,1,202,5
33,1,207,5
33,1,220,1
33,1,232,2
33,1,244,1
33,1,259,1
33,1,280,1
33,1,286,3
33,1,309,1
33,1,320,1
33,1,349,1
33,1,380,3
33,1,434,4
33,1,440,1
33,1,442,5
33,1,443,1
33,1,469,1
33,1,505,1
33,1,523,3
33,1,546,6
33,1,566,1
33,2,165,1
33,2,202,1
33,2,537,1
33,3,207,3
33,3,343,5
33,3,344,3
33,3,356,1
33,3,357,1
33,3,455,1
33,3,457,1
33,3,483,1
33,4,457,1
33,5,457,1
34,1,90,5
34,1,125,5
34,1,132,1
34,1,168,1
34,1,234,1
34,1,280,1
34,1,314,1
34,1,353,1
34,1,380,1
34,1,397,1
34,1,434,1
34,1,440,1
34,1,442,3
34,1,469,1
34,1,502,1
34,1,505,1
34,1,546,5
34,1,584,3
34,2,202,7
34,2,270,3
34,3,202,1
34,3,270,1
34,3,343,3
34,3,356,1
34,3,455,1
34,4,343,1
35,1,98,3
35,1,161,1
35,1,189,1
35,1,212,1
35,1,232,1
35,1,259,3
35,1,286,3
35,1,307,1
35,1,320,1
35,1,364,1
35,1,380,2
35,1,440,1
35,1,469,1
35,1,485,1
35,1,505,1
35,1,523,1
35,1,549,1
35,2,207,1
35,2,343,1
35,2,356,1
35,2,537,7
35,2,547,7
35,3,207,1
35,3,343,7
35,3,344,5
35,3,455,1
35,4,343,1
35,4,456,1
36,1,90,1
36,1,98,1
36,1,143,1
36,1,152,2
36,1,168,1
36,1,189,1
36,1,207,2
36,1,231,1
36,1,280,2
36,1,286,1
36,1,289,1
36,1,320,1
36,1,344,1
36,1,349,1
36,1,353,1
36,1,380,2
36,1,389,1
36,1,394,1
36,1,411,1
36,1,434,3
36,1,442,1
36,1,458,1
36,1,469,1
36,1,485,1
36,1,523,1
36,1,537,1
36,1,546,1
36,1,547,5
36,1,548,1
36,1,549,1
36,1,566,1
36,2,343,1
36,2,454,1
36,2,455,2
36,2,456,1
36,2,457,1
36,2,534,1
36,2,537,1
36,3,456,3
36,3,457,3
36,4,456,3
36,4,457,5
36,5,456,1
36,5,457,1
37,1,90,5
37,1,94,1
37,1,120,5
37,1,125,1
37,1,144,1
37,1,159,1
37,1,168,4
37,1,231,1
37,1,234,1
37,1,307,1
37,1,407,4
37,1,411,1
37,1,440,1
37,1,442,4
37,1,445,1
37,1,485,1
37,1,494,1
37,1,505,1
37,1,522,1
37,1,537,1
37,1,546,3
37,1,589,1
37,1,600,1
37,2,202,3
37,2,251,1
37,2,343,1
37,2,356,1
37,2,455,1
37,2,497,1
37,3,207,2
37,3,343,4
37,3,356,3
37,3,484,1
37,4,207,1
37,4,343,1
38,1,90,3
38,1,125,1
38,1,144,4
38,1,172,2
38,1,231,1
38,1,232,1
38,1,251,1
38,1,252,1
38,1,280,1
38,1,334,1
38,1,347,1
38,1,434,1
38,1,440,5
38,1,442,5
38,1,445,1
38,1,455,1
38,1,494,1
38,1,501,1
38,1,504,1
38,1,505,1
38,1,513,1
38,1,545,1
38,1,546,5
38,1,578,1
38,2,343,4
38,2,356,5
38,2,454,2
38,2,455,4
38,2,537,1
38,3,202,3
38,3,207,3
38,3,343,3
38,3,356,4
38,3,455,4
38,3,457,3
42,1,90,5
42,1,144,1
42,1,162,1
42,1,165,3
42,1,168,1
42,1,183,1
42,1,202,1
42,1,231,1
42,1,259,1
42,1,270,1
42,1,314,3
42,1,440,3
42,1,443,1
42,1,455,1
42,1,485,1
42,1,505,1
42,1,546,1
42,1,580,1
42,2,162,1
42,2,358,1
42,2,385,1
42,2,455,1
42,2,545,3
42,2,578,1
42,3,283,1
