idInventario,nCensoInventario,idObservador,nombreComunidadInventario,lugarInventario,relieveInventario,sueloInventario,nSueloInventario,fechaInventario,idLocalidad,latitudInventario,longitudInventario,poligonoInventario,idDepartamento,tipoComunidadInventario
33,503,2,"Jarillal, pastizal.",Picada ruta a Lihuel Calel. Lote 19. Fraccion B. Area exquema.,Pendiente,0,NULL,,0,"-38,02396","-64,93843",NULL,0,2
34,512,1,Sufruticetum con larrea y pasto,Lugar no identificado. Con ficha de suelo.,Plano- pendiente alta,0,NULL,,0,"-38,1665","-65,36607",NULL,0,NULL
35,532,2,Jarillal denso con pajonal,A 10 kilometros al Este de Estancia La Asturiana. Lote 7.,-,0,NULL,,0,"-37,78897","-65,24858",NULL,0,2
36,540,1,Bosque abierto con pasto,Dpto Utracan. Lote 23.,-,0,NULL,,0,"-37,59113","-65,31769",NULL,0,1
37,546,1,Jarillal abierto con sufructices,Dpto Limay Mahuida. Seccion: XIX. Fraccion: A. Lote: 25. A 8 km al Este de Limay Mahuida.,Plano,0,NULL,,0,"-37,16883","-66,60586",NULL,0,2
38,545,3,Arbustal bajo con pastos,Dpto Utracan. Ruta 21. Lotes 9-12. A 22 km al SW de Chacharramendi.,Plano,0,NULL,,0,"-37,41403","-65,86541",NULL,0,2
42,526,2,Jarillal abierto con peladales y voladuras,"Dpto Curacó. Ruta 23, a 8 Km al Oeste de la Ea 4 Hermanos. Lote: 12.",-,0,NULL,,0,"-38,7874","-65,77281",NULL,0,2
46,519,2,Jarilla con arbustos y subfrutices,Dpto Lihue Calel. Al Sur de San Jorge.,Pendiente plana suave,0,NULL,,0,"-38,5692","-65,18224",NULL,0,2
47,520,1,Jarillal abierto con arbustos y subfrutice,"1,5 Km al Oeste de San Jorge. Lote: 17",Pendiente,0,NULL,,0,"-38,47066","-65,21734",NULL,0,2
48,307,1,Jarillal,"Dpto Loventue. Ruta 105, a 4 km al Este del Durazno.",Media pendiente,0,NULL,,0,"-36,69357","-65,22693",NULL,0,2
49,521,2,Jarillal muy abierto con sufrutice abierto,"Dpto Curaco. Ruta 152. Entre Puelches y Duval, frente a Ea La Emilia. . Lote: 22.",Plano,0,NULL,,0,"-38,55551","-66,36986",NULL,0,2
50,527,2,Arbustal bajo de tomillo con Jarilla.,Dpto Curaco. Gobernador Duval a 20 km al Este de ruta 152.,Plano,0,NULL,,0,"-38,71801","-66,22014",NULL,0,2
51,621,1,"Jarillal abierto, Arbustal con sufrutice",Dpto Chicalco. A 50 km al NW de Sta. Isabel. Puesto Loma Baya. Lote 9.,Pendiente alta,0,NULL,,0,"-36,01057","-67,5602",NULL,0,2
52,622,1,Jarillal abierto con sufrutice.,Dpto Chicalco. A 60 km al NW de Sta Isabel. Picada El Baitano Lote: 11.,Pendiente alta,0,NULL,,0,"-36,14315","-67,67644",NULL,0,2
53,628,3,Jarillal con tapiz abierto de Poa Lanuginosa,Dpto Chicalco ?. Norte de ruta 20 Frente de….... Lote 19.,-,0,NULL,,0,"-36,20489","-68,05056",NULL,0,2
54,632,3,Jarillal abierto,Dpto Chicalco. Ruta 151 al SW de Algarrobo del Aguila. Lote 17 y 14.,Pendiente,0,NULL,,0,"-36,60445","-67,27144",NULL,0,2
55,633,3,Jarillal abierto con Plantago.,"Dpto Chicalco. Ruta 151, al Norte del Pto el Centinela. Lote: 17. A 32 km al Sur de Algarrobo del Aguila.",Pendiente,0,NULL,,0,"-36,61534","-67,27688",NULL,0,2
56,576,2,Jarillal abierto con sufrutice,Dpto Puelén. A 21km al NE de Cochicó. Camino a Cochicó al SW del Pto Mazzini. Lote: 16.,Pendiente media,0,NULL,,0,"-37,10025","-67,17155",NULL,0,2
59,635,1,Jarillal de Larrea Divaricata con sufrutice.,"Dpto Puelén. Ruta 151, al Sur del Pto La Adelina. 67 km al Norte de Puelén. Lote: 17.",Pendiente,0,NULL,,0,"-36,7788","-67,38767",NULL,0,2
60,636,1,Jarillal muy abierto con Prosopis Alpataco.,"Dpto Puelén. Ruta 151, a 55 km al Norte de Puelén. Lote: 3.",Pendiente,0,NULL,,0,"-36,85144","-67,42218",NULL,0,2
61,637,1,"Pastizal con Jarilla (Ldi, Lcu)",Lote: 9. Ruta 151 + ó - a 43 km al Norte de Puelén.,Plano,0,NULL,,0,"-36,96586","-67,48029",NULL,0,3
62,638,1,Pastizal con jarilla o jarillal muy abierto.,Dpto Puelén. Ruta 151 + ó - a 26 km al Norte de Puelén.,-,0,NULL,,0,"-37,11841","-67,52751",NULL,0,3
