idLocalidad,nombreLocalidad,latitudLocalidad,longitudLocalidad,idDepartamento,GeomLocalidad,GeomTLocalidad,geometry
1,CORONEL HILARIO LAGOS,"-35,01664472","-63,90004528",382,0x00000000010CE5C8F3AE34F34FC08A06086A218241C0,POINT (-63.90004527 -35.01664472),POINT (-63.90004527 -35.01664472)
2,BERNARDO LARROUDE,"-35,01663556","-63,55003722",382,0x00000000010CCBBD9F9E67C64FC0B9991B1D218241C0,POINT (-63.55003722 -35.01663555),POINT (-63.55003722 -35.01663555)
3,REALICO,"-35,03330944","-64,25007611",381,0x00000000010C7F7D3A3F011050C05AB9D57B438441C0,POINT (-64.25007611 -35.03330944),POINT (-64.25007611 -35.03330944)
4,RANCUL,"-35,0666525","-64,68345083",380,0x00000000010C8AD18CA8BD2B50C02CD9B111888841C0,POINT (-64.68345083 -35.0666525),POINT (-64.68345083 -35.0666525)
5,PARERA,"-35,14998361","-64,50009611",380,0x00000000010CA3531D93012050C069F1B5A9329341C0,POINT (-64.50009611 -35.14998361),POINT (-64.50009611 -35.14998361)
6,INTENDENTE ALVEAR,"-35,24999","-63,566695",382,0x00000000010C43E7357689C84FC0DC291DACFF9F41C0,POINT (-63.566695 -35.24999),POINT (-63.566695 -35.24999)
7,VERTIZ,"-35,41667139","-63,88338806",382,0x00000000010CAF3610DC12F14FC0BC23DF7C55B541C0,POINT (-63.88338805 -35.41667138),POINT (-63.88338805 -35.41667138)
8,CALEUFU,"-35,583355","-64,56676056",380,0x00000000010C6EBA0ACE452450C0A27A6B60ABCA41C0,POINT (-64.56676055 -35.583355),POINT (-64.56676055 -35.583355)
9,ARATA,"-35,61669194","-64,36674333",400,0x00000000010C131804B9781750C0DF00F1C2EFCE41C0,POINT (-64.36674333 -35.61669194),POINT (-64.36674333 -35.61669194)
10,GENERAL PICO,"-35,66668639","-63,75004639",401,0x00000000010CA64A108501E04FC0F264B3FA55D541C0,POINT (-63.75004638 -35.66668638),POINT (-63.75004638 -35.66668638)
11,LA MARUJA,"-35,68336167","-64,93345111",380,0x00000000010C5A77B9A9BD3B50C02885166578D741C0,POINT (-64.93345111 -35.68336166),POINT (-64.93345111 -35.68336166)
12,TRENEL,"-35,70002944","-64,15006917",400,0x00000000010CA595ADBB9A0950C0C3848F909AD941C0,POINT (-64.15006916 -35.70002944),POINT (-64.15006916 -35.70002944)
13,MONTE NIEVAS,"-35,86670806","-64,15008139",407,0x00000000010CABB5EEEE9A0950C008F7144AF0EE41C0,POINT (-64.15008138 -35.86670805),POINT (-64.15008138 -35.86670805)
14,EDUARDO CASTEX,"-35,91670667","-64,28341444",407,0x00000000010CE8C05176231250C0DA5CD2A456F541C0,POINT (-64.28341444 -35.91670666),POINT (-64.28341444 -35.91670666)
15,QUEMU QUEMU,"-36,06672167","-63,56671167",411,0x00000000010C1FFBF6018AC84FC042D1D9558A0842C0,POINT (-63.56671166 -36.06672166),POINT (-63.56671166 -36.06672166)
16,VILLA MIRASOL,"-36,10005167","-63,88339056",411,0x00000000010C38EC08F112F14FC025CE277ECE0C42C0,POINT (-63.88339055 -36.10005166),POINT (-63.88339055 -36.10005166)
17,COLONIA BARON,"-36,16671889","-63,85005167",411,0x00000000010C25CE277ECEEC4FC0E59C540B571542C0,POINT (-63.85005166 -36.16671888),POINT (-63.85005166 -36.16671888)
18,MIGUEL CANE,"-36,16672778","-63,50003417",411,0x00000000010C9A0A8E1E01C04FC015BEE755571542C0,POINT (-63.50003416 -36.16672777),POINT (-63.50003416 -36.16672777)
19,LUAN TORO,"-36,200065","-65,06680222",414,0x00000000010CD08CD17C464450C08109DCBA9B1942C0,POINT (-65.06680222 -36.200065),POINT (-65.06680222 -36.200065)
20,VICTORICA,"-36,23340278","-65,40016028",414,0x00000000010CBF33D2399C5950C010F95724E01D42C0,POINT (-65.40016027 -36.23340277),POINT (-65.40016027 -36.23340277)
21,WINIFREDA,"-36,25006972","-64,20007556",407,0x00000000010CABFEAD09CE0C50C0588FDA48022042C0,POINT (-64.20007555 -36.25006972),POINT (-64.20007555 -36.25006972)
22,TELEN,"-36,2667425","-65,50016389",414,0x00000000010C64CF5CAF026050C005FA449E242242C0,POINT (-65.50016388 -36.2667425),POINT (-65.50016388 -36.2667425)
23,CATRILO,"-36,40007861","-63,43335861",427,0x00000000010CECB1804B78B74FC0BBE3A0C6353342C0,POINT (-63.43335861 -36.40007861),POINT (-63.43335861 -36.40007861)
24,LONQUIMAY,"-36,46676","-63,61671389",427,0x00000000010C6DCBFC7AF0CE4FC05D8AABCABE3B42C0,POINT (-63.61671388 -36.46676),POINT (-63.61671388 -36.46676)
25,ANGUIL,"-36,516765","-64,01673306",423,0x00000000010CCAA07F27120150C0D55B035B254242C0,POINT (-64.01673305 -36.516765),POINT (-64.01673305 -36.516765)
26,URIBURU,"-36,51675972","-63,86672528",427,0x00000000010C26A288DAF0EE4FC023A5B82E254242C0,POINT (-63.86672527 -36.51675972),POINT (-63.86672527 -36.51675972)
